movieId,title,genres
1,toy story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,jumanji (1995),Adventure|Children|Fantasy
3,grumpier old men (1995),Comedy|Romance
4,waiting to exhale (1995),Comedy|Drama|Romance
5,father of the bride part ii (1995),Comedy
6,heat (1995),Action|Crime|Thriller
7,sabrina (1995),Comedy|Romance
8,tom and huck (1995),Adventure|Children
9,sudden death (1995),Action
10,goldeneye (1995),Action|Adventure|Thriller
11,"american president, the (1995)",Comedy|Drama|Romance
12,dracula: dead and loving it (1995),Comedy|Horror
13,balto (1995),Adventure|Animation|Children
14,nixon (1995),Drama
15,cutthroat island (1995),Action|Adventure|Romance
16,casino (1995),Crime|Drama
17,sense and sensibility (1995),Drama|Romance
18,four rooms (1995),Comedy
19,ace ventura: when nature calls (1995),Comedy
20,money train (1995),Action|Comedy|Crime|Drama|Thriller
21,get shorty (1995),Comedy|Crime|Thriller
22,copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,assassins (1995),Action|Crime|Thriller
24,powder (1995),Drama|Sci-Fi
25,leaving las vegas (1995),Drama|Romance
26,othello (1995),Drama
27,now and then (1995),Children|Drama
28,persuasion (1995),Drama|Romance
29,"city of lost children, the (cit„© des enfants perdus, la) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,shanghai triad (yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,dangerous minds (1995),Drama
32,twelve monkeys (a.k.a. 12 monkeys) (1995),Mystery|Sci-Fi|Thriller
33,wings of courage (1995),Adventure|Romance|IMAX
34,babe (1995),Children|Drama
35,carrington (1995),Drama|Romance
36,dead man walking (1995),Crime|Drama
37,across the sea of time (1995),Documentary|IMAX
38,it takes two (1995),Children|Comedy
39,clueless (1995),Comedy|Romance
40,"cry, the beloved country (1995)",Drama
41,richard iii (1995),Drama|War
42,dead presidents (1995),Action|Crime|Drama
43,restoration (1995),Drama
44,mortal kombat (1995),Action|Adventure|Fantasy
45,to die for (1995),Comedy|Drama|Thriller
46,how to make an american quilt (1995),Drama|Romance
47,seven (a.k.a. se7en) (1995),Mystery|Thriller
48,pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,when night is falling (1995),Drama|Romance
50,"usual suspects, the (1995)",Crime|Mystery|Thriller
51,guardian angel (1994),Action|Drama|Thriller
52,mighty aphrodite (1995),Comedy|Drama|Romance
53,lamerica (1994),Adventure|Drama
54,"big green, the (1995)",Children|Comedy
55,georgia (1995),Drama
56,kids of the round table (1995),Adventure|Children|Comedy|Fantasy
57,home for the holidays (1995),Drama
58,"postman, the (postino, il) (1994)",Comedy|Drama|Romance
59,"confessional, the (confessionnal, le) (1995)",Drama|Mystery
60,"indian in the cupboard, the (1995)",Adventure|Children|Fantasy
61,eye for an eye (1996),Drama|Thriller
62,mr. holland's opus (1995),Drama
63,don't be a menace to south central while drinking your juice in the hood (1996),Comedy|Crime
64,two if by sea (1996),Comedy|Romance
65,bio-dome (1996),Comedy
66,lawnmower man 2: beyond cyberspace (1996),Action|Sci-Fi|Thriller
67,two bits (1995),Drama
68,french twist (gazon maudit) (1995),Comedy|Romance
69,friday (1995),Comedy
70,from dusk till dawn (1996),Action|Comedy|Horror|Thriller
71,fair game (1995),Action
72,kicking and screaming (1995),Comedy|Drama
73,"mis„©rables, les (1995)",Drama|War
74,bed of roses (1996),Drama|Romance
75,big bully (1996),Comedy|Drama
76,screamers (1995),Action|Sci-Fi|Thriller
77,nico icon (1995),Documentary
78,"crossing guard, the (1995)",Action|Crime|Drama|Thriller
79,"juror, the (1996)",Drama|Thriller
80,"white balloon, the (badkonake sefid) (1995)",Children|Drama
81,things to do in denver when you're dead (1995),Crime|Drama|Romance
82,antonia's line (antonia) (1995),Comedy|Drama
83,once upon a time... when we were colored (1995),Drama|Romance
84,last summer in the hamptons (1995),Comedy|Drama
85,angels and insects (1995),Drama|Romance
86,white squall (1996),Action|Adventure|Drama
87,dunston checks in (1996),Children|Comedy
88,black sheep (1996),Comedy
89,nick of time (1995),Action|Thriller
90,"journey of august king, the (1995)",Drama
92,mary reilly (1996),Drama|Horror|Thriller
93,vampire in brooklyn (1995),Comedy|Horror|Romance
94,beautiful girls (1996),Comedy|Drama|Romance
95,broken arrow (1996),Action|Adventure|Thriller
96,in the bleak midwinter (1995),Comedy|Drama
97,"hate (haine, la) (1995)",Crime|Drama
98,shopping (1994),Action|Thriller
99,heidi fleiss: hollywood madam (1995),Documentary
100,city hall (1996),Drama|Thriller
101,bottle rocket (1996),Adventure|Comedy|Crime|Romance
102,mr. wrong (1996),Comedy
103,unforgettable (1996),Mystery|Sci-Fi|Thriller
104,happy gilmore (1996),Comedy
105,"bridges of madison county, the (1995)",Drama|Romance
106,nobody loves me (keiner liebt mich) (1994),Comedy|Drama
107,muppet treasure island (1996),Adventure|Children|Comedy|Musical
108,catwalk (1996),Documentary
109,headless body in topless bar (1995),Comedy|Drama|Thriller
110,braveheart (1995),Action|Drama|War
111,taxi driver (1976),Crime|Drama|Thriller
112,rumble in the bronx (hont faan kui) (1995),Action|Adventure|Comedy|Crime
113,before and after (1996),Drama|Mystery
114,margaret's museum (1995),Drama
115,"happiness is in the field (bonheur est dans le pr„©, le) (1995)",Comedy
116,anne frank remembered (1995),Documentary
117,"young poisoner's handbook, the (1995)",Crime|Drama
118,if lucy fell (1996),Comedy|Romance
119,"steal big, steal little (1995)",Comedy
120,race the sun (1996),Adventure|Comedy|Drama
121,"boys of st. vincent, the (1992)",Drama
122,boomerang (1992),Comedy|Romance
123,chungking express (chung hing sam lam) (1994),Drama|Mystery|Romance
124,"star maker, the (uomo delle stelle, l') (1995)",Drama
125,flirting with disaster (1996),Comedy
126,"neverending story iii, the (1994)",Adventure|Children|Fantasy
127,"silences of the palace, the (saimt el qusur) (1994)",Drama
128,jupiter's wife (1994),Documentary
129,pie in the sky (1996),Comedy|Romance
130,angela (1995),Drama
131,frankie starlight (1995),Drama|Romance
132,jade (1995),Thriller
133,nueba yol (1995),Comedy|Drama
134,sonic outlaws (1995),Documentary
135,down periscope (1996),Comedy
136,from the journals of jean seberg (1995),Documentary
137,man of the year (1995),Documentary
138,"neon bible, the (1995)",Drama
139,target (1995),Action|Drama
140,up close and personal (1996),Drama|Romance
141,"birdcage, the (1996)",Comedy
142,shadows (cienie) (1988),Drama
143,gospa (1995),Drama
144,"brothers mcmullen, the (1995)",Comedy
145,bad boys (1995),Action|Comedy|Crime|Drama|Thriller
146,"amazing panda adventure, the (1995)",Adventure|Children
147,"basketball diaries, the (1995)",Drama
148,"awfully big adventure, an (1995)",Drama
149,amateur (1994),Crime|Drama|Thriller
150,apollo 13 (1995),Adventure|Drama|IMAX
151,rob roy (1995),Action|Drama|Romance|War
152,"addiction, the (1995)",Drama|Horror
153,batman forever (1995),Action|Adventure|Comedy|Crime
154,beauty of the day (belle de jour) (1967),Drama
155,beyond rangoon (1995),Adventure|Drama|War
156,blue in the face (1995),Comedy|Drama
157,canadian bacon (1995),Comedy|War
158,casper (1995),Adventure|Children
159,clockers (1995),Crime|Drama|Mystery
160,congo (1995),Action|Adventure|Mystery|Sci-Fi
161,crimson tide (1995),Drama|Thriller|War
162,crumb (1994),Documentary
163,desperado (1995),Action|Romance|Western
164,devil in a blue dress (1995),Crime|Film-Noir|Mystery|Thriller
165,die hard: with a vengeance (1995),Action|Crime|Thriller
166,"doom generation, the (1995)",Comedy|Crime|Drama
167,feast of july (1995),Drama
168,first knight (1995),Action|Drama|Romance
169,free willy 2: the adventure home (1995),Adventure|Children|Drama
170,hackers (1995),Action|Adventure|Crime|Thriller
171,jeffrey (1995),Comedy|Drama
172,johnny mnemonic (1995),Action|Sci-Fi|Thriller
173,judge dredd (1995),Action|Crime|Sci-Fi
174,jury duty (1995),Comedy
175,kids (1995),Drama
176,living in oblivion (1995),Comedy
177,lord of illusions (1995),Horror
178,love & human remains (1993),Comedy|Drama
179,mad love (1995),Drama|Romance
180,mallrats (1995),Comedy|Romance
181,mighty morphin power rangers: the movie (1995),Action|Children
182,moonlight and valentino (1995),Drama|Romance
183,mute witness (1994),Comedy|Horror|Thriller
184,nadja (1994),Drama
185,"net, the (1995)",Action|Crime|Thriller
186,nine months (1995),Comedy|Romance
187,party girl (1995),Comedy
188,"prophecy, the (1995)",Fantasy|Horror|Mystery
189,reckless (1995),Comedy|Fantasy
190,safe (1995),Thriller
191,"scarlet letter, the (1995)",Drama|Romance
192,the show (1995),Documentary
193,showgirls (1995),Drama
194,smoke (1995),Comedy|Drama
195,something to talk about (1995),Comedy|Drama|Romance
196,species (1995),Horror|Sci-Fi
197,"stars fell on henrietta, the (1995)",Drama
198,strange days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,"umbrellas of cherbourg, the (parapluies de cherbourg, les) (1964)",Drama|Musical|Romance
200,"tie that binds, the (1995)",Thriller
201,three wishes (1995),Drama|Fantasy
202,total eclipse (1995),Drama|Romance
203,"to wong foo, thanks for everything! julie newmar (1995)",Comedy
204,under siege 2: dark territory (1995),Action
205,unstrung heroes (1995),Comedy|Drama
206,unzipped (1995),Documentary
207,"walk in the clouds, a (1995)",Drama|Romance
208,waterworld (1995),Action|Adventure|Sci-Fi
209,white man's burden (1995),Drama
210,wild bill (1995),Western
211,"browning version, the (1994)",Drama
212,bushwhacked (1995),Adventure|Comedy|Crime|Mystery
213,burnt by the sun (utomlyonnye solntsem) (1994),Drama
214,before the rain (pred dozhdot) (1994),Drama|War
215,before sunrise (1995),Drama|Romance
216,billy madison (1995),Comedy
217,"babysitter, the (1995)",Drama|Thriller
218,boys on the side (1995),Comedy|Drama
219,"cure, the (1995)",Drama
220,castle freak (1995),Horror
222,circle of friends (1995),Drama|Romance
223,clerks (1994),Comedy
224,don juan demarco (1995),Comedy|Drama|Romance
225,disclosure (1994),Drama|Thriller
226,dream man (1995),Thriller
227,drop zone (1994),Action|Thriller
228,destiny turns on the radio (1995),Comedy
229,death and the maiden (1994),Drama|Thriller
230,dolores claiborne (1995),Drama|Thriller
231,dumb & dumber (dumb and dumber) (1994),Adventure|Comedy
232,eat drink man woman (yin shi nan nu) (1994),Comedy|Drama|Romance
233,exotica (1994),Drama
234,exit to eden (1994),Comedy
235,ed wood (1994),Comedy|Drama
236,french kiss (1995),Action|Comedy|Romance
237,forget paris (1995),Comedy|Romance
238,far from home: the adventures of yellow dog (1995),Adventure|Children
239,"goofy movie, a (1995)",Animation|Children|Comedy|Romance
240,hideaway (1995),Thriller
241,fluke (1995),Children|Drama
242,farinelli: il castrato (1994),Drama|Musical
243,gordy (1995),Children|Comedy|Fantasy
244,gumby: the movie (1995),Animation|Children
245,the glass shield (1994),Crime|Drama
246,hoop dreams (1994),Documentary
247,heavenly creatures (1994),Crime|Drama
248,houseguest (1994),Comedy
249,immortal beloved (1994),Drama|Romance
250,heavyweights (heavy weights) (1995),Children|Comedy
251,"hunted, the (1995)",Action
252,i.q. (1994),Comedy|Romance
253,interview with the vampire: the vampire chronicles (1994),Drama|Horror
254,jefferson in paris (1995),Drama
255,"jerky boys, the (1995)",Comedy
256,junior (1994),Comedy|Sci-Fi
257,just cause (1995),Mystery|Thriller
258,"kid in king arthur's court, a (1995)",Adventure|Children|Comedy|Fantasy|Romance
259,kiss of death (1995),Crime|Drama|Thriller
260,star wars: episode iv - a new hope (1977),Action|Adventure|Sci-Fi
261,little women (1994),Drama
262,"little princess, a (1995)",Children|Drama
263,ladybird ladybird (1994),Drama
264,"enfer, l' (1994)",Drama
265,like water for chocolate (como agua para chocolate) (1992),Drama|Fantasy|Romance
266,legends of the fall (1994),Drama|Romance|War|Western
267,major payne (1995),Comedy
268,little odessa (1994),Crime|Drama
269,my crazy life (mi vida loca) (1993),Drama
270,love affair (1994),Drama|Romance
271,losing isaiah (1995),Drama
272,"madness of king george, the (1994)",Comedy|Drama
273,mary shelley's frankenstein (frankenstein) (1994),Drama|Horror|Sci-Fi
274,man of the house (1995),Comedy
275,mixed nuts (1994),Comedy
276,milk money (1994),Comedy|Romance
277,miracle on 34th street (1994),Drama
278,miami rhapsody (1995),Comedy
279,my family (1995),Drama
280,murder in the first (1995),Drama|Thriller
281,nobody's fool (1994),Comedy|Drama|Romance
282,nell (1994),Drama
283,new jersey drive (1995),Crime|Drama
284,new york cop (ny„ª y„¥ku no koppu) (1993),Action|Crime
285,beyond bedlam (1993),Drama|Horror
286,nemesis 2: nebula (1995),Action|Sci-Fi|Thriller
287,nina takes a lover (1994),Comedy|Romance
288,natural born killers (1994),Action|Crime|Thriller
289,only you (1994),Comedy|Romance
290,once were warriors (1994),Crime|Drama
291,poison ivy ii (1996),Drama|Thriller
292,outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,l„©on: the professional (a.k.a. the professional) (l„©on) (1994),Action|Crime|Drama|Thriller
294,"perez family, the (1995)",Comedy|Romance
295,"pyromaniac's love story, a (1995)",Comedy|Romance
296,pulp fiction (1994),Comedy|Crime|Drama|Thriller
297,panther (1995),Drama
298,pushing hands (tui shou) (1992),Drama
299,priest (1994),Drama
300,quiz show (1994),Drama
301,picture bride (bijo photo) (1994),Drama|Romance
302,"queen margot (reine margot, la) (1994)",Drama|Romance
303,"quick and the dead, the (1995)",Action|Thriller|Western
304,roommates (1995),Comedy|Drama
305,ready to wear (pret-a-porter) (1994),Comedy
306,three colors: red (trois couleurs: rouge) (1994),Drama
307,three colors: blue (trois couleurs: bleu) (1993),Drama
308,three colors: white (trzy kolory: bialy) (1994),Comedy|Drama
309,"red firecracker, green firecracker (pao da shuang deng) (1994)",Drama
310,rent-a-kid (1995),Comedy
311,relative fear (1994),Horror|Thriller
312,stuart saves his family (1995),Comedy
313,"swan princess, the (1994)",Animation|Children
314,"secret of roan inish, the (1994)",Children|Drama|Fantasy|Mystery
